sku	asin	price	quantity
B5RSA001P6	B00THJTGDM	15.99	1
B5RSA001P7	B00THJTGBY	15.99	1
B5RSA001P8	B00THJTGGO	15.99	1
B5RSA002P5	B00THM11WS	29.99	0
B5RSA002P6	B00THM129K	29.99	1
B5RSA002P7	B00THM11QO	29.99	1
B5RSA002P8	B00THM12I6	29.99	1
B5RSA002P9	B00THM11M8	29.99	1
B5RSA003P5	B00THMIWMK	22.99	0
B5RSA003P6	B00THMIWOI	22.99	1
B5RSA003P7	B00THMIWRU	22.99	1
B5RSA003P8	B00THMIWIY	22.99	1
B5RSA003P9	B00THMIWJ8	22.99	1
B5RSA004P5	B00THMPZLG	15.99	0
B5RSA004P6	B00THMPZAW	15.99	0
B5RSA004P7	B00THMPZF2	15.99	0
B5RSA004P8	B00THMPZ9I	15.99	1
B5RSA004P9	B00THMPZ70	15.99	0
B5RSA005P5	B00THN20VS	21.99	0
B5RSA005P6	B00THN217Q	21.99	1
B5RSA005P7	B00THN21AI	21.99	1
B5RSA005P8	B00THN21BC	21.99	1
B5RSA005P9	B00THN242S	21.99	1
B5RSA006P5	B00THNGL6S	14.99	0
B5RSA006P6	B00THNGM94	14.99	1
B5RSA006P7	B00THNGL5Y	14.99	1
B5RSA006P8	B00THNGL18	14.99	1
B5RSA006P9	B00THNGL2M	14.99	1
B5RSA007P5	B00THNW8K6	15.99	0
B5RSA007P6	B00THNW8LK	15.99	1
B5RSA007P7	B00THNW8JM	15.99	1
B5RSA007P8	B00THNW8CY	15.99	1
B5RSA007P9	B00THNW8YW	15.99	1
B5RSA008P6	B00THO9IK8	15.99	1
B5RSA008P8	B00THO9IQM	15.99	1
B5RSA009P5	B00THOH3S2	12.99	0
B5RSA009P6	B00THOH1P2	12.99	1
B5RSA009P7	B00THOH18O	12.99	1
B5RSA009P8	B00THOH1FM	12.99	1
B5RSA009P9	B00THOH1BG	12.99	0
B5RSA010P5	B00THOQRJI	12.99	0
B5RSA010P6	B00THOQRFM	12.99	1
B5RSA010P7	B00THOQRBQ	12.99	1
B5RSA010P8	B00THOQRJS	12.99	1
B5RSA010P9	B00THOQSYC	12.99	0
B5RSA011P5	B00THOXWJG	10.99	0
B5RSA011P6	B00THOXXR2	10.99	1
B5RSA011P7	B00THOXWLO	10.99	1
B5RSA011P8	B00THOXXAE	10.99	1
B5RSA011P9	B00THOXWSC	10.99	0
B5RSA012P5	B00THQ04L8	11.99	0
B5RSA012P6	B00THQ04W2	11.99	1
B5RSA012P7	B00THQ04FO	11.99	1
B5RSA012P8	B00THQ04EK	11.99	1
B5RSA012P9	B00THQ04H2	11.99	0
B5RSA013P5	B00THQ9572	12.99	0
B5RSA013P6	B00THQ956S	12.99	1
B5RSA013P7	B00THQ956I	12.99	1
B5RSA013P8	B00THQ96O4	12.99	1
B5RSA013P9	B00THQ96TO	12.99	0
B5RSA014P5	B00THQQSI6	19.99	0
B5RSA014P6	B00THQQT2G	19.99	1
B5RSA014P7	B00THQQRW8	19.99	1
B5RSA014P8	B00THQQRWS	19.99	1
B5RSA014P9	B00THQQSRM	19.99	0
B5RSA015P6	B00THRIGI0	14.99	1
B5RSA015P8	B00THRIGSU	14.99	1
B5RSA016P5	B00THRV6SC	10.99	0
B5RSA016P6	B00THRV6PK	10.99	1
B5RSA016P7	B00THRV7EU	10.99	1
B5RSA016P8	B00THRV6UA	10.99	1
B5RSA016P9	B00THRV7QS	10.99	0
B5RSA017P5	B00THS66YU	18.99	0
B5RSA017P6	B00THS656O	18.99	1
B5RSA017P7	B00THS65G4	18.99	0
B5RSA017P8	B00THS65VO	18.99	1
B5RSA017P9	B00THS65IM	18.99	0
B5RSA018P0	B00THSPOU2	9.99	1
B5RSA019P5	B00THTH5AS	14.99	0
B5RSA019P6	B00THTH3W8	14.99	0
B5RSA019P7	B00THTH9XQ	14.99	1
B5RSA019P8	B00THTH4VS	14.99	1
B5RSA019P9	B00THTH49A	14.99	0
B5RSA020P5	B00THUQXZA	28.99	0
B5RSA020P6	B00THUQYRC	28.99	0
B5RSA020P7	B00THUQXN2	28.99	1
B5RSA020P8	B00THUQZB2	28.99	1
B5RSA020P9	B00THUQXPK	28.99	1
B5RSA021P5	B00THVF81Y	14.99	0
B5RSA021P6	B00THVF94U	14.99	1
B5RSA021P7	B00THVF82I	14.99	1
B5RSA021P8	B00THVF7ZQ	14.99	1
B5RSA021P9	B00THVF8OQ	14.99	0
B5RSA022P5	B00THW4N8W	12.99	0
B5RSA022P6	B00THW4PBM	12.99	1
B5RSA022P7	B00THW4OJ0	12.99	1
B5RSA022P8	B00THW4NZU	12.99	1
B5RSA022P9	B00THW4NK0	12.99	1
B5RSA023P5	B00THWIX7O	15.99	0
B5RSA023P6	B00THWIVP8	15.99	1
B5RSA023P7	B00THWIXFG	15.99	1
B5RSA023P8	B00THWIVTO	15.99	1
B5RSA023P9	B00THWIVOO	15.99	0
B5RSA024P5	B00THXXFU8	18.99	0
B5RSA024P6	B00THXXFY4	18.99	0
B5RSA024P7	B00THXXFIA	18.99	0
B5RSA024P8	B00THXXFM6	18.99	1
B5RSA024P9	B00THXXFAI	18.99	0
B5RSA025P5	B00THXPKDI	14.99	0
B5RSA025P6	B00THXPKOW	14.99	1
B5RSA025P7	B00THXPKUG	14.99	1
B5RSA025P8	B00THXPJZM	14.99	1
B5RSA025P9	B00THXPKP6	14.99	0
B5RSA026P5	B00THX720M	13.99	0
B5RSA026P6	B00THX71YO	13.99	1
B5RSA026P7	B00THX72MU	13.99	1
B5RSA026P8	B00THX72JI	13.99	0
B5RSA026P9	B00THX72PW	13.99	0
B5RSA027P5	B00THWWJQA	13.99	0
B5RSA027P6	B00THWWJV0	13.99	1
B5RSA027P7	B00THWWJLA	13.99	1
B5RSA027P8	B00THWWJWY	13.99	0
B5RSA027P9	B00THWWKVY	13.99	0
B5RSA028P5	B00THYPF7S	22.99	0
B5RSA028P6	B00THYPEOM	22.99	1
B5RSA028P7	B00THYPF46	22.99	1
B5RSA028P8	B00THYPF82	22.99	0
B5RSA028P9	B00THYPFA0	22.99	1
B5RSA029P5	B00THYVL76	22.99	0
B5RSA029P6	B00THYVL4E	22.99	1
B5RSA029P7	B00THYVL6M	22.99	0
B5RSA029P9	B00THYVLF8	22.99	1
B5RSA030P6	B00TIXME04	12.99	1
B5RSA030P7	B00TIXME0Y	12.99	1
B5RSA030P8	B00TIXME86	12.99	1
B5RSA030P9	B00TIXME22	12.99	0
Jd0017-4	B00PBJJ2HM	47.99	1
Jd0036-1	B00PBJJ3VM	41.99	12
Jd0036-3	B00PBJJ51U	41.99	17
