Product ID,Name,Price,Product Sub ID,Stock,Stock warning,Track inventory,Inventory rule,Items in stock on attr. level
"ad0080-1","Green miniaturize frog trinket box with Swarovski Elements Crystals","44.99000","","5","1","Yes","OutOfStock","",
"ad0080-2","Brown miniaturize frog trinket box with Swarovski Elements Crystals","44.99000","","2","1","Yes","OutOfStock","",
"ad0142-2","Mini white Christmas tree trinket box with Swarovski Elements Crystals","21.99000","","9","1","Yes","OutOfStock","",
"ad0166","Faberge style Russian silver egg trinket box with Swarovski Elements Crystals","119.99000","","62","1","Yes","OutOfStock","",
"ad0166-3","Faberge style Russian golden egg trinket box with Swarovski Elements Crystals","119.99000","","124","1","Yes","OutOfStock","",
"ad0179-1","Faberge style Russian pink egg trinket box with Swarovski Elements Crystals","82.99000","","1","1","Yes","OutOfStock","",
"ad0179-3","Faberge style Russian blue egg trinket box with Swarovski Elements Crystals","82.99000","","12","1","Yes","OutOfStock","",
"ad0179-4","Faberge style Russian purple egg trinket box with Swarovski Elements Crystals","82.99000","","10","1","Yes","OutOfStock","",
"ad300-11","Royal Blue Net Pattern Russian Faberge style Egg with Swarovski Element Crystals Trinket Pill Jewelry Box","99.99000","","5","1","Yes","OutOfStock","",
"ad300-6","Red Net Pattern Russian Faberge style Egg with Swarvski Element Crystals Trinket Pill Jewelry Box","99.99000","","5","1","Yes","OutOfStock","",
"b5bga008r0","Rose Gold Bangel with Cubic Zirconia Round Crystal Patterns","39.99000","","1","1","Yes","OutOfStock","",
"b5bga012p0","Cubic Zirconia Bangle Bracelet ZigZag Crystal Pattern","34.99000","","1","1","Yes","OutOfStock","",
"b5bga013p0","Cubic Zirconia Bangle Bracelet Crystal Square Patterns","24.99000","","1","1","Yes","OutOfStock","",
"b5bga015p0","Cubic Zirconia Bangle with Circular Single Crystal Pattern","34.99000","","1","1","Yes","OutOfStock","",
"b5bga016p0","Rhodium Cubic Zirconia Bangle Circualar Pattern Crystal","49.99000","","1","1","Yes","OutOfStock","",
"b5bga017p0","Cubic Zirconia Crystal Heart Patterns Bangle Bracelet","29.99000","","1","1","Yes","OutOfStock","",
"b5bga050p0","Cubic Zirconia Bangle Bracelet Circular Crystal Patterns","29.99000","","1","1","Yes","OutOfStock","",
"b5bra001p0","Cubic Zirconia Bracelet with Rhodium Finish and Crystals Pendant Patterns","29.99000","","1","1","Yes","OutOfStock","",
"b5bra002p0","Rhodium Plated Cubic Zirconia Bracelet with Round Crystal Pendants","33.99000","","1","1","Yes","OutOfStock","",
"b5bra003p0","Flower Design Cubic Zirconia Bracelet with Pendant Design","42.99000","","1","1","Yes","OutOfStock","",
"b5bra004p0","Rhodium Plated Bracelet with Swarovski Crystals With X Design","21.99000","","1","1","Yes","OutOfStock","",
"b5bra005p0","Oval Pattern Cubic Zirconia Rhodium Plated Bracelet","39.99000","","1","1","Yes","OutOfStock","",
"b5bra006p0","Rhodium Plated Cubic Zirconia Bracelet with Pendant Patterns","35.99000","","1","1","Yes","OutOfStock","",
"b5bra007p0","Round Cubic Zirconia Bracelet with Rhodium Finish","35.99000","","1","1","Yes","OutOfStock","",
"b5bra008p0","Link Chain Rhodium Plated Cubic Zirconia Bracelet","35.99000","","1","1","Yes","OutOfStock","",
"b5bra009p0","Cubic Zirconia Bracelet with Rhodium Finish Bow Design","29.99000","","1","1","Yes","OutOfStock","",
"b5bra010p0","Oval Hoop Cubic Zirconia Bracelet with Rhodium Finish","35.99000","","1","1","Yes","OutOfStock","",
"b5bra011p0","Link Chain Rhodium Plated Cubic Zirconia Bracelet","33.99000","","1","1","Yes","OutOfStock","",
"b5bra012p0","Bracelet with Cubic Zirconia Pendant Crystals and Heart Charms","33.99000","","1","1","Yes","OutOfStock","",
"b5bra013p0","Cubic Zirconia Bracelet with Rhodium Finish Round Pendant Crystals","27.99000","","1","1","Yes","OutOfStock","",
"b5bra014p0","Cubic Zirconia Bracelet with Rhodium Finish and X Charms","19.99000","","1","1","Yes","OutOfStock","",
"b5bra015p0","Star Charm Cubic Zirconia Bracelet with Rhodium Finish","14.99000","","1","1","Yes","OutOfStock","",
"b5bra016p0","Cubic Zirconia Bracelet with Circular Pendant and Crystals Patterns","23.99000","","1","1","Yes","OutOfStock","",
"b5bra017p0","Round Cubic Zirconia Crystal Pendant Patterns with Rhodium Finish","35.99000","","1","1","Yes","OutOfStock","",
"b5bra018p0","Oval Crystal Pattern Bracelet Cubic Zirconia with Rhodium Finish","20.99000","","1","1","Yes","OutOfStock","",
"b5bra019p0","Resizeale CZ Bracelet with Crystal Pendants","17.99000","","1","1","Yes","OutOfStock","",
"b5bra020p0","Cubic Zirconia Bracelet with Rhodium Finish Circular Crystal Pendants","27.99000","","1","1","Yes","OutOfStock","",
"b5bra021p0","Floral Design Cubic Zirconia Bracelet with Rhodium Finish","39.99000","","1","1","Yes","OutOfStock","",
"b5bra022p0","Cubic Zirconia Bracelet with Rhodium Finish and Round Crystal Pendants","23.99000","","1","1","Yes","OutOfStock","",
"b5bra023p0","Heart Pattern Cubic Zirconia Bracelet with Rhodium Finish","27.99000","","1","1","Yes","OutOfStock","",
"b5bra024p0","Cubic Zirconia Star Crystal Pattern Bracelet with Rhodium Plating","29.99000","","1","1","Yes","OutOfStock","",
"b5bra025p0","Resizeable Cubic Zirconia Heart Design Bracelet","24.99000","","1","1","Yes","OutOfStock","",
"b5bra026p0","Cubic Zirconia Bracelet with Crystal Pendant Pattern and Gold Plating","35.99000","","1","1","Yes","OutOfStock","",
"b5bra027p0","Cubic Zirconia Gold Plated Bracelet with Crystal Patterns","34.99000","","1","1","Yes","OutOfStock","",
"b5bra028p0","Cubic Zirconia Bracelet with Triangular Crystal Patterns","31.99000","","1","1","Yes","OutOfStock","",
"b5bra029p0","Round Crystal Pendant Pattern Bracelet with Rhodium Finish","18.99000","","1","1","Yes","OutOfStock","",
"b5bra030p0","Rhodium Finish Bracelet with Cubic Zirconia Crystal Pendants","17.99000","","1","1","Yes","OutOfStock","",
"b5bra031p0","Square Pendant Bracelet with Rhodium Finish","34.99000","","1","1","Yes","OutOfStock","",
"b5bra032p0","Cubic Zirconia Bracelet Circular Crystal Pendants Patterns with Rhodium Finish","18.99000","","1","1","Yes","OutOfStock","",
"b5bra033p0","Oval Shape Cubic Zirconia Bracelet with Rhodium Finish","35.99000","","1","1","Yes","OutOfStock","",
"b5bra040p0","CZ Bracelet with Star Shaped Crystal Pendants","29.99000","","1","1","Yes","OutOfStock","",
"b5bra041p0","Star Crystal Pendant Pattern Cubic Zirconia Bracelet with Rhodium Finish","27.99000","","1","1","Yes","OutOfStock","",
"b5bra042p0","Double Oval Cubic Zirconia Pendant Bracelet with Rhodium Finish","25.99000","","1","1","Yes","OutOfStock","",
"b5bra043p0","CZ Heart and Star Bracelet with Rhodium Finish","18.99000","","1","1","Yes","OutOfStock","",
"b5bra044p0","Star Design Cubic Zirconia Bracelet with Rhodium Finish","14.99000","","1","1","Yes","OutOfStock","",
"B5RSA001P0","Brand New Cubic Zirconia Rhodium Plated Snake Heads Ring","15.99000","","4","1","Yes","OutOfStock","",
"B5RSA002P0","Rhodium Plated Cubic Zirconia Long Multi Row Floral Ring","29.99000","","4","1","Yes","OutOfStock","",
"B5RSA003P0","Brand New Cubic Zirconia Long Net Pattern Ring","22.99000","","4","1","Yes","OutOfStock","",
"B5RSA004P0","Brand New Rhodium Plated Cubic Zirconia V Shaped Style Ring","15.99000","","4","1","Yes","OutOfStock","",
"B5RSA005P0","New Rhodium Plated Cubic Zirconia Spiral Shaped Star Ring","21.99000","","4","1","Yes","OutOfStock","",
"B5RSA006P0","New Rhodium Plated Cubic Zirconia Wavy Shaped Ring With Pearl","14.99000","","4","1","Yes","OutOfStock","",
"B5RSA007P0","Brand New Cubic Zirconia Circle Patterned Ring","15.99000","","4","1","Yes","OutOfStock","",
"B5RSA008P0","Brand New Cubic Zirconia Adjustable Open Back Sinuous Ring","15.99000","","4","1","Yes","OutOfStock","",
"B5RSA009P0","Solitaire Round Cut Cubic Zirconia Rhodium Plated Ring","12.99000","","4","1","Yes","OutOfStock","",
"B5RSA010P0","Brand New Cubic Zirconia Ring with Cross Style Stones","12.99000","","4","1","Yes","OutOfStock","",
"B5RSA011P0","Cubic Zirconia Bow Style Ring With Cubic Zirconia stones","10.99000","","4","1","Yes","OutOfStock","",
"B5RSA012P0","Brand New Cubic Zirconia Fish Style Ring With Cubic Zirconia stones","11.99000","","4","1","Yes","OutOfStock","",
