sku	asin	price	quantity
0I-DKUX-7X70	B00FZJBEO2	36.99	1
1L-A8XL-7MGS	B00FYO5KLG	63.99	2
2V-YGY4-AJO7	B00FZJN94U	32.99	1
4F-HHVT-Z0F2	B004S31HQG	49.99	1
4G-4YNK-0ANO	B00FZICWMG	26.99	2
51-F48L-8O1E	B004S32Q2U	45.99	5
5I-NBIW-YPDY	B004QUHJPE	44.99	3
5M-LBPI-JLW8	B00FYKOX1S	40.99	1
6B-I7FH-C5I1	B008TY1V2K	53.99	1
7S-FXZO-J0GY	B008TY9O2E	80.99	1
7Z-K7JU-M8CC	B00FUGIXP8	46.99	1
8A-7BM2-926N	B00FZJB8Z2	36.99	1
8O-S4Y9-FST9	B00FXRALZ4	68.99	2
99-B66F-PGFC	B002DHE7Z2	36.99	3
9R-U5BI-EGX8	B008QFBWA8	29.99	2
A2-FD1M-211J	B00FZJAXBW	36.99	1
A2-WSJK-2BX1	B00FZJAEKC	36.99	1
AQ-W7NB-VLHB	B00FXRBHZ2	68.99	1
B5BGA012P0	B00T8HH5UY	34.99	1
B5BGA013P0	B00T8HLUY6	24.99	1
B5BGA015P0	B00T8HP17S	34.99	1
B5BGA016P0	B00T8HVFAK	39.99	1
B5BGA050P0	B00T8FIFDC	29.99	1
B5BRA001P0	B00T8APZQM	29.99	1
B5BRA002P0	B00T8AQ3EK	33.99	1
B5BRA003P0	B00T8AQ5UW	42.99	1
B5BRA004P0	B00T8AQ91C	21.99	1
B5BRA005P0	B00T8AQCN2	39.99	1
B5BRA007P0	B00T8AQKVQ	35.99	1
B5BRA008P0	B00T8AQOX0	35.99	1
B5BRA010P0	B00T8AQV7E	35.99	1
B5BRA013P0	B00T8AR6HS	27.99	1
B5BRA014P0	B00T8AR9RA	19.99	1
B5BRA015P0	B00T8ARDQM	14.99	1
B5BRA016P0	B00T8ARHGS	23.99	1
B5BRA017P0	B00T8ARL4Q	35.99	1
B5BRA018P0	B00T8ARODY	20.99	1
B5BRA019P0	B00T8ARRTU	17.99	1
B5BRA020P0	B00T8APYL8	27.99	1
B5BRA021P0	B00T8AQ1VK	39.99	1
B5BRA022P0	B00T8AQ5N4	23.99	1
B5BRA023P0	B00T8AQ8NG	27.99	1
B5BRA024P0	B00T8AQCU0	29.99	1
B5BRA025P0	B00T8AQGQA	24.99	1
B5BRA026P0	B00T8AQK1G	35.99	1
B5BRA027P0	B00T8AQNMC	34.99	1
B5BRA028P0	B00T8AQQWO	31.99	1
B5BRA029P0	B00T8AQUMK	18.99	1
B5BRA030P0	B00T8AQYSK	17.99	1
B5BRA031P0	B00T8AR272	34.99	1
B5BRA032P0	B00T8AR5FG	18.99	1
B5BRA033P0	B00T8AR8ZI	35.99	1
B5BRA040P0	B00T8ARD9Y	29.99	1
B5BRA041P0	B00T8ARHJU	27.99	1
B5BRA042P0	B00T8ARKMO	25.99	1
B5BRA043P0	B00T8ARNWQ	18.99	1
B5BRA044P0	B00T8ARR0O	14.99	1
B5RSA001P6	B00THJTGDM	15.99	1
B5RSA001P7	B00THJTGBY	15.99	1
B5RSA001P8	B00THJTGGO	15.99	1
B5RSA002P6	B00THM129K	29.99	1
B5RSA002P7	B00THM11QO	29.99	1
B5RSA002P8	B00THM12I6	29.99	1
B5RSA002P9	B00THM11M8	29.99	1
B5RSA003P6	B00THMIWOI	22.99	1
B5RSA003P7	B00THMIWRU	22.99	1
B5RSA003P8	B00THMIWIY	22.99	1
B5RSA003P9	B00THMIWJ8	22.99	1
B5RSA004P6	B00THMPZAW	15.99	1
B5RSA004P7	B00THMPZF2	15.99	1
B5RSA004P8	B00THMPZ9I	15.99	1
B5RSA005P6	B00THN217Q	21.99	1
B5RSA005P7	B00THN21AI	21.99	1
B5RSA005P8	B00THN21BC	21.99	1
B5RSA005P9	B00THN242S	21.99	1
B5RSA006P6	B00THNGM94	14.99	1
B5RSA006P7	B00THNGL5Y	14.99	1
B5RSA006P8	B00THNGL18	14.99	1
B5RSA006P9	B00THNGL2M	14.99	1
B5RSA007P6	B00THNW8LK	15.99	1
B5RSA007P7	B00THNW8JM	15.99	1
B5RSA007P8	B00THNW8CY	15.99	1
B5RSA007P9	B00THNW8YW	15.99	1
B5RSA008P6	B00THO9IK8	15.99	1
B5RSA008P8	B00THO9IQM	15.99	1
B5RSA009P6	B00THOH1P2	12.99	1
B5RSA009P7	B00THOH18O	12.99	1
B5RSA009P8	B00THOH1FM	12.99	1
B5RSA010P6	B00THOQRFM	12.99	1
B5RSA010P7	B00THOQRBQ	12.99	1
B5RSA010P8	B00THOQRJS	12.99	1
B5RSA011P6	B00THOXXR2	10.99	1
B5RSA011P7	B00THOXWLO	10.99	1
B5RSA011P8	B00THOXXAE	10.99	1
B5RSA012P6	B00THQ04W2	11.99	1
B5RSA012P7	B00THQ04FO	11.99	1
B5RSA012P8	B00THQ04EK	11.99	1
B5RSA013P6	B00THQ956S	12.99	1
B5RSA013P7	B00THQ956I	12.99	1
B5RSA013P8	B00THQ96O4	12.99	1
B5RSA014P6	B00THQQT2G	19.99	1
B5RSA014P7	B00THQQRW8	19.99	1
B5RSA014P8	B00THQQRWS	19.99	1
B5RSA015P6	B00THRIGI0	14.99	1
B5RSA015P8	B00THRIGSU	14.99	1
B5RSA016P6	B00THRV6PK	10.99	1
B5RSA016P7	B00THRV7EU	10.99	1
B5RSA016P8	B00THRV6UA	10.99	1
B5RSA017P6	B00THS656O	18.99	1
B5RSA017P8	B00THS65VO	18.99	1
B5RSA018P0	B00THSPOU2	9.99	1
B5RSA019P6	B00THTH3W8	14.99	1
B5RSA019P7	B00THTH9XQ	14.99	1
B5RSA019P8	B00THTH4VS	14.99	1
B5RSA020P7	B00THUQXN2	28.99	1
B5RSA020P8	B00THUQZB2	28.99	1
B5RSA020P9	B00THUQXPK	28.99	1
B5RSA021P6	B00THVF94U	14.99	1
B5RSA021P7	B00THVF82I	14.99	1
B5RSA021P8	B00THVF7ZQ	14.99	1
B5RSA022P6	B00THW4PBM	12.99	1
B5RSA022P7	B00THW4OJ0	12.99	1
B5RSA022P8	B00THW4NZU	12.99	1
B5RSA022P9	B00THW4NK0	12.99	1
B5RSA023P6	B00THWIVP8	15.99	1
B5RSA023P7	B00THWIXFG	15.99	1
B5RSA023P8	B00THWIVTO	15.99	1
B5RSA024P8	B00THXXFM6	18.99	1
B5RSA025P6	B00THXPKOW	14.99	1
B5RSA025P7	B00THXPKUG	14.99	1
B5RSA025P8	B00THXPJZM	14.99	1
B5RSA026P6	B00THX71YO	13.99	1
B5RSA026P7	B00THX72MU	13.99	1
B5RSA027P6	B00THWWJV0	13.99	1
B5RSA027P7	B00THWWJLA	13.99	1
B5RSA028P6	B00THYPEOM	22.99	1
B5RSA028P7	B00THYPF46	22.99	1
B5RSA028P9	B00THYPFA0	22.99	1
B5RSA029P6	B00THYVL4E	22.99	1
B5RSA029P7	B00THYVL6M	22.99	1
B5RSA029P9	B00THYVLF8	22.99	1
B5RSA030P6	B00TIXME04	12.99	1
B5RSA030P7	B00TIXME0Y	12.99	1
B5RSA030P8	B00TIXME86	12.99	1
B5RSA031P6	B00TIXV11W	19.99	1
B5RSA031P7	B00TIXV0XG	19.99	1
B5RSA031P8	B00TIXV0UO	19.99	1
B5RSA031P9	B00TIXV0YU	19.99	1
B5RSA032P6	B00TIY4ANC	88.99	1
B5RSA032P7	B00TIY4AW8	88.99	1
B5RSA032P8	B00TIY4AO6	88.99	1
B5RSA033P6	B00TIYNIYY	33.99	1
B5RSA033P7	B00TIYNJ52	33.99	1
B5RSA033P8	B00TIYNJ6Q	33.99	1
B5RSA033P9	B00TIYNJ4I	33.99	1
B5RSA034P6	B00TIZ17S2	45.99	1
B5RSA034P7	B00TIZ17C8	45.99	1
B5RSA035P6	B00TIZAD4Q	34.99	1
B5RSA035P7	B00TIZAD64	34.99	1
B5RSA035P8	B00TIZADE6	34.99	1
B5RSA036P7	B00TIZOC5M	27.99	1
B5RSA036P8	B00TIZOCO8	27.99	1
B5RSA037P7	B00TJ0C0FK	37.99	1
B5RSA037P8	B00TJ0C0HI	37.99	1
B5RSA038P6	B00TJ0M456	29.99	1
B5RSA038P7	B00TJ0MBOU	29.99	1
B5RSA039P6	B00TJ0RFV4	22.99	1
B5RSA039P7	B00TJ0RFX2	22.99	1
B5RSA039P8	B00TJ0RFWI	22.99	1
B5RSA039P9	B00TJ0RG2C	22.99	1
B5RSA040P5	B00TJ0WBZ4	27.99	1
B5RSA040P7	B00TJ0WC3K	27.99	1
B5RSA041P7	B00TJ10Z42	49.99	1
B5RSA041P8	B00TJ10ZII	49.99	1
B5RSA041P9	B00TJ10Z5G	49.99	1
B5RSA042P6	B00TJ1FVNW	27.99	1
B5RSA042P7	B00TJ1FVOQ	27.99	1
B5RSA042P8	B00TJ1FVPU	27.99	1
B5RSA042P9	B00TJ1FVDM	27.99	1
B5RSA043P7	B00TJ2BV2G	29.99	1
B5RSA043P8	B00TJ2BVIU	29.99	1
B5RSA043P9	B00TJ2BUY0	29.99	1
B5RSA044P6	B00TJ2IUOI	44.99	1
B5RSA044P7	B00TJ2IUN4	44.99	1
B5RSA045P6	B00TJ2TLIM	22.99	1
B5RSA045P7	B00TJ2TLRS	22.99	1
B5RSA045P8	B00TJ2TLOG	22.99	1
B5RSA047P6	B00TJ5DP9U	19.99	1
B5RSA047P7	B00TJ5DPMC	19.99	1
B5RSA047P8	B00TJ5DP4K	19.99	1
B5RSA047P9	B00TJ5DQOY	19.99	1
B5RSA048P6	B00TJ5Z0I4	12.99	1
B5RSA048P7	B00TJ5Z10Q	12.99	1
B5RSA048P8	B00TJ5YZVW	12.99	1
B5RSA049P6	B00TJ6QQT0	25.99	1
B5RSA049P6.5	B00TJ6QQKY	25.99	1
